output_idx,bias_value
0,0.034035172
1,0.07439869
2,-0.06283599
3,-0.027725976
4,0.04364644
5,0.014675918
6,-0.07640597
7,-0.041290324
8,-0.013325137
9,0.05394034
10,0.09703203
11,0.05586997
12,0.08908586
13,-0.013998891
14,0.108461775
15,-0.0582536
16,-0.012067055
17,0.097215414
18,-0.033860613
19,0.07361882
20,-0.0130301155
21,-0.047875073
22,0.086386904
23,-0.06866966
24,0.031204473
25,-0.051012233
26,0.103043474
27,0.043928195
28,0.024411136
29,0.02823954
30,-0.012843655
31,0.020049337
32,-0.00254018
33,0.12028751
34,-0.01287576
35,-0.035090756
36,-0.030411541
37,-0.0031883498
38,-0.0735084
39,0.002384042
40,0.04465623
41,-0.049779348
42,-0.024506938
43,-0.057058856
44,0.042785812
45,0.030258488
46,0.08084395
47,0.06536408
48,0.080499955
49,-0.010371486
50,-0.068099335
51,0.07534013
52,0.043765336
53,0.035598274
54,-0.025281185
55,-0.017510962
56,0.068119496
57,-0.05047421
58,-0.085589066
59,0.02284238
60,-0.012994513
61,-0.0033210502
62,-0.044255733
63,0.067488804
