output_idx,weights
0,"[0.3228583335876465, 0.3187369108200073, -0.3428710997104645, -0.17301274836063385, 0.20188850164413452, 0.015688935294747353, -0.04168592020869255, -0.09946532547473907, 0.1181400790810585, 0.26636773347854614, 0.011094915680587292, 0.12908963859081268, -0.4766677916049957, 0.10259995609521866, -0.29958605766296387, 0.0334506519138813, -0.5064276456832886, -0.4132154583930969, -0.4657973647117615, -0.238649383187294, 0.0499768890440464, -0.010560121387243271, 0.39540934562683105, 0.028916213661432266, -0.4388761520385742, 0.0823163092136383, 0.034369368106126785, -0.12430070340633392, 0.00023437001800630242, 0.3450127840042114, 0.345590740442276, 0.08936084806919098, 0.25785279273986816, -0.4344717860221863, -0.022726822644472122, -0.20146624743938446, -0.01015003677457571, 0.39414340257644653, 0.3310970962047577, 0.015439463779330254, -0.09705735743045807, -0.05685756728053093, -0.5047791004180908, -0.03236779570579529, 0.36424720287323, 0.02549922838807106, -0.3523956835269928, -0.1017732173204422, -0.14723385870456696, -0.26586294174194336, 0.1121433898806572, 0.09053213894367218, -0.041036467999219894, -0.07715243846178055, 0.5161874890327454, 0.09055153280496597, -0.36346435546875, 0.08067767322063446, 0.11095557361841202, 0.8577974438667297, -0.3449175953865051, 0.22515714168548584, 0.004871442448347807, 0.04265580326318741]"
1,"[-0.069515161216259, -0.022773513570427895, -0.1098027303814888, -0.16981399059295654, 0.20065173506736755, -0.04967602714896202, -0.27321818470954895, -0.1785615235567093, -0.4992102086544037, 0.2937946021556854, -0.40456727147102356, 0.011751481331884861, 0.6559926867485046, -0.18381766974925995, -0.5022265911102295, 0.4607113003730774, -0.30943283438682556, 0.567838191986084, -0.34764647483825684, 0.5218055248260498, 0.4325031638145447, 0.051619380712509155, -0.06965796649456024, -0.03417283669114113, -0.023670783266425133, 0.10400888323783875, -0.7599315047264099, 0.09089021384716034, 0.11787103116512299, -0.37425723671913147, 0.19640955328941345, 0.07095441967248917, 0.018106894567608833, -0.38527700304985046, -0.1891465187072754, 0.3928622901439667, -0.09291313588619232, 0.1836870014667511, 0.01675628311932087, 0.06955484300851822, -0.031260136514902115, -0.0016668852185830474, 0.4070090353488922, -0.10141768306493759, -0.868852436542511, 0.08241938799619675, -0.21240641176700592, 0.31998082995414734, -0.11761584877967834, 0.13098903000354767, -0.008928163908421993, -0.12895753979682922, -0.14954587817192078, 0.025687336921691895, 0.012306559830904007, -0.08447051048278809, 0.5573883652687073, -0.02604523114860058, -0.02636818215250969, -0.35934457182884216, 0.5761430859565735, -0.3451627492904663, 0.11472462117671967, 0.0606856606900692]"
2,"[-0.6052247881889343, 0.1076798141002655, 0.4154842793941498, -0.0890553891658783, 0.3206237852573395, 0.8597886562347412, -0.16222257912158966, -0.01151507068425417, 0.262103796005249, 0.5320407152175903, 0.4521287679672241, 0.006000585854053497, 0.2577017545700073, 0.04307299479842186, -0.00596544099971652, -0.6022069454193115, -0.7472087144851685, -0.8693957328796387, 0.15955513715744019, 0.15227067470550537, 0.16360795497894287, 0.05569738894701004, -0.2367096096277237, -0.035197027027606964, -0.11857382953166962, 0.13084229826927185, 0.13000157475471497, 0.8742552995681763, -0.07221353054046631, -0.7663140892982483, 0.012719405815005302, 0.17140160501003265, 0.3188354969024658, 0.30697399377822876, -0.12229688465595245, 0.2111160010099411, 0.02130732499063015, 0.27154746651649475, -0.21746766567230225, 0.553015947341919, 0.007817288860678673, 0.04092428833246231, -0.2711851894855499, -0.004162353463470936, -0.19288793206214905, -0.3123060166835785, 0.055253978818655014, 0.3020344376564026, -0.06238866224884987, -0.6836945414543152, 0.08390671759843826, 0.009218791499733925, -0.3438352644443512, -0.31423822045326233, 0.17203329503536224, -0.23676347732543945, 0.438705712556839, -0.07680264115333557, -0.10325658321380615, 0.26654696464538574, 0.266172856092453, 0.44107484817504883, 0.017661914229393005, -0.008662546053528786]"
3,"[-0.3751528859138489, 0.05600252002477646, -0.42996224761009216, 0.2977409362792969, -0.5974746346473694, -0.06578809022903442, 0.02151183784008026, 0.039005618542432785, 0.8462134003639221, 0.10118136554956436, 0.0006289948360063136, 0.11161268502473831, -0.26028862595558167, -0.15016254782676697, 0.02612161450088024, -0.3771572411060333, 0.05503830313682556, 0.43866604566574097, -0.4461576044559479, 0.41225284337997437, 0.0622597299516201, 0.030651122331619263, -0.4751242995262146, 0.04381422698497772, 0.6427427530288696, 0.17484250664710999, -0.36541858315467834, -0.2730545401573181, -0.006079928949475288, -0.00271878344938159, -0.236423522233963, -0.1599486917257309, 0.48396751284599304, 0.9413047432899475, -0.10692048817873001, 0.7640544772148132, 0.022006845101714134, 0.15601500868797302, 0.5310057997703552, -0.6645974516868591, -0.025422576814889908, -0.09188675880432129, -0.44404369592666626, -0.11974824965000153, 0.49821555614471436, -0.27007216215133667, -0.1645449697971344, -0.677104115486145, 0.04524152725934982, -0.28707343339920044, 0.14511391520500183, -0.16025178134441376, -0.379260390996933, -0.5022180676460266, -0.5172894597053528, 0.28715628385543823, 0.48522305488586426, 0.13348981738090515, 0.022227497771382332, -0.5141803622245789, 0.048899728804826736, 0.08547203987836838, 0.15250664949417114, -0.14422567188739777]"
4,"[0.010769572108983994, 0.15173257887363434, -0.1405436247587204, -0.06909852474927902, 0.4829196333885193, -0.11401555687189102, 0.6667559742927551, 0.051853716373443604, 0.34267720580101013, -0.7881011962890625, -0.07806418836116791, -0.08624349534511566, 0.16536158323287964, 0.052184123545885086, 0.0988779366016388, 0.6894756555557251, 0.1322994828224182, -0.2123384326696396, 0.5482853055000305, -0.02686884254217148, -0.5288090109825134, -0.03781575337052345, 0.07212259620428085, 0.0006341002881526947, 0.5881266593933105, 0.12417695671319962, 0.1573863923549652, -0.8445890545845032, -0.12580260634422302, -0.1880180686712265, 0.16815954446792603, -0.05139442905783653, -0.27744388580322266, -0.026854051277041435, -0.05798440799117088, -0.2857009470462799, 0.026746731251478195, -0.37336960434913635, -0.020883211866021156, 0.2772587835788727, -0.12741301953792572, -0.08579056710004807, 0.24872790277004242, -0.005877210758626461, -0.8653324246406555, 0.05082310736179352, -0.3339577615261078, 0.32446837425231934, 0.05513875558972359, 0.56719970703125, -0.1859212964773178, -0.18465857207775116, 0.016306418925523758, 0.17587248980998993, 0.3107536733150482, -0.8474305868148804, -0.07123377919197083, 0.07104998081922531, 0.038286447525024414, -0.2026568502187729, 0.6431409120559692, -0.4706607162952423, 0.2766520380973816, 0.4230356216430664]"
5,"[-0.3133391737937927, -0.16415858268737793, 0.22435308992862701, 0.003092748811468482, -0.4084285497665405, 0.2420826405286789, -0.047067366540431976, 0.09364252537488937, 0.21898102760314941, -0.015467891469597816, -0.13477587699890137, 0.13649751245975494, -0.22084501385688782, 0.057965196669101715, 0.04503387585282326, 0.75845867395401, 0.05264310911297798, 0.8427956700325012, 0.23352016508579254, -0.9642159342765808, 0.770571768283844, -0.032961323857307434, -0.5184776186943054, 0.058714114129543304, -0.028044143691658974, -0.008017088286578655, 0.2903985381126404, -0.010554349981248379, -0.10070132464170456, -0.049028944224119186, -0.5015206336975098, 0.11318877339363098, -0.33014705777168274, 0.15649233758449554, 0.12507794797420502, -0.4407343566417694, 0.007305654231458902, -0.16675932705402374, 0.5397167205810547, -0.3686753809452057, -0.025308333337306976, 0.08825986087322235, 0.5496504902839661, 0.02310943603515625, 0.35076409578323364, -0.01249330397695303, 0.7197598814964294, 0.03519827127456665, -0.012394185177981853, 0.5627038478851318, -0.1326369047164917, -0.05040593817830086, 0.08668187260627747, -0.12818512320518494, -0.6307111978530884, 0.42908790707588196, -0.5800927877426147, -0.11845257878303528, -0.08721917867660522, -0.3888569474220276, -0.7428666949272156, 0.6338645815849304, -0.3842257559299469, -0.018386593088507652]"
6,"[0.27967703342437744, -0.085823655128479, 0.4075099527835846, 0.12395697832107544, 0.09700489044189453, -0.40168437361717224, 0.0766005739569664, -0.07478059828281403, -1.0122177600860596, 0.451670378446579, -0.155686154961586, 0.09057993441820145, -0.3734992742538452, 0.059468016028404236, 0.5434739589691162, 0.6971087455749512, -0.5753487944602966, -0.5158582925796509, 0.10511934012174606, -0.4540194869041443, 0.22284269332885742, 0.09854526817798615, 0.15274544060230255, -0.08434642106294632, -0.3093544840812683, -0.1769837588071823, 0.5998783707618713, 0.2243618369102478, -0.11803944408893585, 0.37333184480667114, 0.022243451327085495, 0.07212192565202713, -0.15146887302398682, 0.0303596593439579, -0.5027063488960266, -0.07602490484714508, 0.06618526577949524, -0.06362822651863098, -0.3837450444698334, -0.2746666371822357, -0.08240770548582077, 0.023014789447188377, -0.019434714689850807, 0.11307447403669357, 0.03755389526486397, 0.42536959052085876, 0.06391717493534088, 0.03126785531640053, -0.07754842191934586, -0.3657852113246918, -0.04774900898337364, 0.150966078042984, -0.6785033941268921, 0.3563866913318634, -0.0458824560046196, 0.5680972933769226, -0.517225980758667, -0.09538663178682327, -0.10286404192447662, 0.400574654340744, 0.37900713086128235, -0.25164657831192017, 0.30396685004234314, -0.06415049731731415]"
7,"[-0.10869450122117996, 0.08721344918012619, -0.03997345268726349, -0.062015093863010406, 0.6684222221374512, -0.05844864621758461, -0.027881700545549393, 0.3578413724899292, 0.19334392249584198, -0.3511873781681061, 0.3321135342121124, 0.09771539270877838, 0.5296332240104675, 0.15202735364437103, -0.3886144757270813, -0.30127018690109253, 0.4543621838092804, -0.26652535796165466, -0.2891828715801239, -0.2222655862569809, -0.5834605097770691, -0.03744786977767944, -0.3203760087490082, 0.05138416215777397, -0.18475119769573212, 0.17107242345809937, -0.6423735618591309, 0.5325724482536316, -0.06508640199899673, -0.11695607006549835, -0.11686673015356064, 0.1485016942024231, 0.4470421373844147, -0.7452252507209778, 0.25453877449035645, 0.695336103439331, -0.10343614965677261, -0.3066398799419403, 0.29486921429634094, -0.3412921726703644, 0.039689917117357254, 0.038474343717098236, -0.2040591984987259, -0.11281242966651917, -0.5393455624580383, -0.3387068808078766, -0.3731461763381958, 0.09467688202857971, -0.13198144733905792, -0.03134763613343239, 0.04680797830224037, 0.2637104094028473, 0.5866996645927429, 0.5070743560791016, 0.23782846331596375, 0.6623296141624451, 0.642512857913971, 0.06245827674865723, -0.03177510201931, -0.3724987804889679, -0.41442859172821045, 0.2611696124076843, 0.2594244182109833, -0.023333361372351646]"
8,"[0.19634611904621124, -0.36855509877204895, 0.47686272859573364, -0.16357193887233734, -0.8776277303695679, -0.5434374213218689, -0.10512737184762955, 0.016519762575626373, -0.3032343089580536, 0.515935480594635, 0.5751000046730042, -0.02002859115600586, -0.0013254918158054352, 0.040363237261772156, 0.44906505942344666, -0.4311748445034027, 0.49478432536125183, -0.1894998699426651, -0.13859009742736816, 0.5186101198196411, -0.5770291686058044, 0.10004426538944244, 0.12229699641466141, 0.0793214663863182, -0.19019761681556702, -0.16022807359695435, 0.6908425092697144, -0.20710842311382294, -0.04252669960260391, 0.4391672909259796, 0.08941974490880966, -0.02117254212498665, -0.41446375846862793, 0.38024571537971497, -0.28955069184303284, -0.7786086201667786, 0.013265373185276985, -0.1703696846961975, -0.7207574844360352, 0.512023389339447, 0.07634439319372177, 0.03889000043272972, -0.034159403294324875, 0.09015731513500214, 0.754744291305542, -0.21403293311595917, 0.04490375146269798, -0.15916745364665985, 0.020556408911943436, 0.4699821472167969, 0.06280992180109024, -0.07894369214773178, 0.109014131128788, 0.3154076635837555, -0.3110943138599396, -0.5244372487068176, 0.3320203721523285, -0.06745853275060654, -0.015926392748951912, -0.052257437258958817, -0.07051131129264832, 0.22075927257537842, -0.7683361768722534, -0.12482690811157227]"
9,"[0.6739711761474609, 0.19118061661720276, -0.3321547210216522, -0.020888399332761765, -0.030517278239130974, -0.08731518685817719, -0.6070253252983093, -0.23097006976604462, 0.06392219662666321, -0.6033160090446472, -0.4013141989707947, 0.014251372776925564, -0.1898619830608368, -0.12429938465356827, -0.18764212727546692, -0.7555133104324341, 0.7214589715003967, 0.4826761484146118, 0.5844559073448181, 0.3791029453277588, 0.14318175613880157, 0.012515615671873093, 0.4168981909751892, 0.07447631657123566, 0.3456844091415405, -0.07790788263082504, -0.20550963282585144, -0.2210613340139389, 0.03486345708370209, 0.5045140981674194, 0.07593017816543579, -0.05920959636569023, -0.4302494525909424, 0.039110250771045685, 0.3217395842075348, -0.005702052265405655, 0.05044332146644592, 0.05206688866019249, -0.4823155105113983, 0.012645915150642395, 0.12224886566400528, 0.12274213880300522, -0.16033601760864258, 0.028086507692933083, 0.7277340292930603, 0.35972899198532104, 0.5507116913795471, -0.17278283834457397, -0.038322072476148605, -0.17047381401062012, -0.02182340994477272, -0.07054099440574646, 0.5505753755569458, -0.3532301187515259, 0.22258645296096802, -0.5449323654174805, -0.9632574915885925, -0.06635813415050507, -0.01728992350399494, -0.16631175577640533, -0.25073960423469543, -0.7574679255485535, 0.5822089910507202, -0.5669626593589783]"
